symbol,company,salesPrice,drift,volatility,sectors
MS,Morgan Stanley,176.86,0.0006,0.22,FINANCIALS
WFC,Wells Fargo,89.07,0.0004,0.22,FINANCIALS
AMAT,Applied Materials,342.19,0.0010,0.36,TECHNOLOGY
RTX,RTX Corporation,197.56,0.0005,0.22,INDUSTRIALS
IBM,IBM,273.86,0.0004,0.20,TECHNOLOGY
UNH,UnitedHealth Group,278.79,0.0006,0.22,HEALTHCARE
AXP,American Express,355.18,0.0006,0.22,FINANCIALS
INTC,Intel,47.85,0.0003,0.34,TECHNOLOGY
TMUS,T-Mobile US,207.62,0.0006,0.20,CONSUMER
PEP,PepsiCo,168.71,0.0003,0.14,CONSUMER
MCD,McDonald's,323.50,0.0004,0.16,CONSUMER
GEV,GE Vernova,822.50,0.0010,0.32,INDUSTRIALS|ENERGY
LIN,Linde plc,466.04,0.0005,0.18,INDUSTRIALS
C,Citigroup,117.93,0.0004,0.26,FINANCIALS
TXN,Texas Instruments,226.34,0.0006,0.24,TECHNOLOGY
VZ,Verizon,48.55,0.0002,0.18,CONSUMER
T,AT&T,28.21,0.0002,0.18,CONSUMER
TMO,Thermo Fisher Scientific,525.00,0.0006,0.22,HEALTHCARE
AMGN,Amgen,364.77,0.0005,0.20,HEALTHCARE
ABT,Abbott Laboratories,112.97,0.0005,0.18,HEALTHCARE
KLAC,KLA Corporation,1492.27,0.0011,0.34,TECHNOLOGY
GILD,Gilead Sciences,155.71,0.0004,0.22,HEALTHCARE
DIS,Walt Disney Company (The),108.30,0.0004,0.26,CONSUMER
NEE,NextEra Energy,91.19,0.0003,0.16,ENERGY
BA,Boeing,236.98,0.0005,0.32,INDUSTRIALS
ANET,Arista Networks,141.06,0.0011,0.32,TECHNOLOGY
APH,Amphenol,144.60,0.0008,0.24,TECHNOLOGY|INDUSTRIALS
ISRG,Intuitive Surgical,496.14,0.0010,0.26,HEALTHCARE
CRM,Salesforce,184.94,0.0009,0.28,TECHNOLOGY
SCHW,Charles Schwab Corporation,95.50,0.0005,0.24,FINANCIALS
BLK,BlackRock,1083.35,0.0007,0.22,FINANCIALS
TJX,TJX Companies,150.56,0.0005,0.20,CONSUMER
DE,Deere & Company,610.03,0.0005,0.26,INDUSTRIALS
ADI,Analog Devices,336.71,0.0008,0.26,TECHNOLOGY
LOW,Lowe's,286.57,0.0005,0.22,CONSUMER
PFE,Pfizer,27.77,0.0003,0.22,HEALTHCARE
UNP,Union Pacific Corporation,261.95,0.0004,0.20,INDUSTRIALS
DHR,Danaher Corporation,219.80,0.0005,0.20,HEALTHCARE
APP,AppLovin Corporation,459.27,0.0018,0.48,TECHNOLOGY
HON,Honeywell,243.56,0.0005,0.20,INDUSTRIALS
ETN,Eaton Corporation,394.94,0.0007,0.24,INDUSTRIALS
QCOM,Qualcomm,141.90,0.0007,0.30,TECHNOLOGY
UBER,Uber,70.72,0.0010,0.36,CONSUMER|TECHNOLOGY
LMT,Lockheed Martin,630.54,0.0005,0.18,INDUSTRIALS
WELL,Welltower,208.65,0.0004,0.18,REALESTATE
ACN,Accenture,230.79,0.0005,0.20,TECHNOLOGY
BKNG,Booking Holdings,4322.85,0.0008,0.26,CONSUMER
SYK,Stryker Corporation,362.53,0.0006,0.20,HEALTHCARE
COP,ConocoPhillips,110.75,0.0003,0.28,ENERGY
NEM,Newmont,123.89,0.0003,0.32,INDUSTRIALS
COF,Capital One,214.93,0.0005,0.28,FINANCIALS
PLD,Prologis,140.35,0.0004,0.22,REALESTATE
MDT,Medtronic,100.87,0.0003,0.18,HEALTHCARE
CB,Chubb Limited,328.82,0.0004,0.16,FINANCIALS
PH,Parker Hannifin,998.24,0.0007,0.24,INDUSTRIALS
PGR,Progressive Corporation,209.33,0.0006,0.18,FINANCIALS
BMY,Bristol Myers Squibb,60.18,0.0003,0.20,HEALTHCARE
HCA,HCA Healthcare,531.83,0.0006,0.22,HEALTHCARE
SPGI,S&P Global,396.65,0.0006,0.20,FINANCIALS
CMCSA,Comcast,32.53,0.0003,0.22,CONSUMER
VRTX,Vertex Pharmaceuticals,459.93,0.0008,0.26,HEALTHCARE
MCK,McKesson Corporation,944.20,0.0005,0.18,HEALTHCARE
PANW,Palo Alto Networks,165.49,0.0012,0.32,TECHNOLOGY
GLW,Corning Inc.,134.16,0.0006,0.24,TECHNOLOGY|INDUSTRIALS
SBUX,Starbucks,99.03,0.0004,0.22,CONSUMER
INTU,Intuit,401.05,0.0008,0.24,TECHNOLOGY
MO,Altria,65.72,0.0002,0.16,CONSUMER
BSX,Boston Scientific,73.76,0.0007,0.20,HEALTHCARE
CME,CME Group,303.44,0.0005,0.18,FINANCIALS
NOW,ServiceNow,101.55,0.0011,0.28,TECHNOLOGY
ADBE,Adobe Inc.,258.39,0.0007,0.26,TECHNOLOGY
TT,Trane Technologies,473.75,0.0007,0.22,INDUSTRIALS
CRWD,CrowdStrike,414.94,0.0014,0.36,TECHNOLOGY
BX,Blackstone Inc.,133.29,0.0008,0.30,FINANCIALS
UPS,United Parcel Service,119.93,0.0003,0.22,INDUSTRIALS
SO,Southern Company,90.86,0.0002,0.12,ENERGY
CEG,Constellation Energy,274.37,0.0010,0.32,ENERGY
DUK,Duke Energy,124.86,0.0002,0.12,ENERGY
CVS,CVS Health,76.36,0.0003,0.22,HEALTHCARE|CONSUMER
MAR,Marriott International,360.71,0.0006,0.24,CONSUMER
NOC,Northrop Grumman,680.45,0.0005,0.20,INDUSTRIALS
PNC,PNC Financial Services,237.28,0.0004,0.24,FINANCIALS
WM,Waste Management,234.67,0.0005,0.16,INDUSTRIALS
GD,General Dynamics,348.79,0.0005,0.18,INDUSTRIALS
WDC,Western Digital,277.26,0.0008,0.40,TECHNOLOGY
KKR,KKR,105.28,0.0008,0.28,FINANCIALS
HWM,Howmet Aerospace,233.13,0.0008,0.26,INDUSTRIALS
FCX,Freeport-McMoRan,65.30,0.0005,0.34,INDUSTRIALS
NKE,Nike Inc.,62.43,0.0004,0.24,CONSUMER
USB,U.S. Bancorp,59.25,0.0004,0.24,FINANCIALS
MMM,3M,173.46,0.0003,0.22,INDUSTRIALS
SHW,Sherwin-Williams,364.16,0.0006,0.20,INDUSTRIALS
RCL,Royal Caribbean Group,331.76,0.0010,0.40,CONSUMER
SNDK,Sandisk Corporation,607.86,0.0010,0.40,TECHNOLOGY
STX,Seagate Technology,409.41,0.0008,0.38,TECHNOLOGY
EMR,Emerson Electric,156.30,0.0005,0.20,INDUSTRIALS
ADP,Automatic Data Processing,217.59,0.0005,0.16,TECHNOLOGY|FINANCIALS
WMB,Williams Companies,71.48,0.0004,0.20,ENERGY
ICE,Intercontinental Exchange,153.60,0.0006,0.18,FINANCIALS
FDX,FedEx,368.49,0.0003,0.24,INDUSTRIALS
ITW,Illinois Tool Works,298.50,0.0005,0.18,INDUSTRIALS
JCI,Johnson Controls,140.75,0.0005,0.22,INDUSTRIALS
CRH,CRH plc,127.89,0.0006,0.22,INDUSTRIALS
ECL,Ecolab,301.35,0.0005,0.18,INDUSTRIALS
EQIX,Equinix,863.66,0.0006,0.22,REALESTATE|TECHNOLOGY
BK,BNY Mellon,122.83,0.0005,0.22,FINANCIALS
MRSH,Marsh & McLennan Companies Inc.,174.09,0.0005,0.18,FINANCIALS
AMT,American Tower,179.46,0.0004,0.20,REALESTATE
CMI,Cummins,601.45,0.0006,0.24,INDUSTRIALS
SNPS,Synopsys,433.56,0.0009,0.26,TECHNOLOGY
REGN,Regeneron Pharmaceuticals,780.09,0.0007,0.28,HEALTHCARE
DELL,Dell Technologies,124.37,0.0010,0.32,TECHNOLOGY
CDNS,Cadence Design Systems,298.74,0.0009,0.26,TECHNOLOGY
CTAS,Cintas,201.10,0.0007,0.18,INDUSTRIALS
ORLY,O'Reilly Auto Parts,93.87,0.0006,0.20,CONSUMER
MNST,Monster Beverage,80.88,0.0006,0.20,CONSUMER
MDLZ,Mondelez International,61.45,0.0003,0.14,CONSUMER
PWR,Quanta Services,523.69,0.0009,0.26,INDUSTRIALS
CI,Cigna,292.46,0.0004,0.22,HEALTHCARE
CSX,CSX Corporation,41.30,0.0004,0.22,INDUSTRIALS
CL,Colgate-Palmolive,95.04,0.0003,0.14,CONSUMER
SLB,Schlumberger,51.14,0.0003,0.34,ENERGY
HLT,Hilton Worldwide,327.38,0.0007,0.24,CONSUMER
DASH,DoorDash,175.41,0.0012,0.40,CONSUMER|TECHNOLOGY
TDG,TransDigm Group,1325.26,0.0008,0.22,INDUSTRIALS
MCO,Moody's Corporation,415.20,0.0006,0.20,FINANCIALS
APO,Apollo Global Management,127.53,0.0008,0.28,FINANCIALS
ELV,Elevance Health,329.59,0.0005,0.22,HEALTHCARE
ABNB,Airbnb,119.56,0.0008,0.32,CONSUMER|TECHNOLOGY
GM,General Motors,79.78,0.0004,0.30,CONSUMER|INDUSTRIALS
NSC,Norfolk Southern Railway,316.73,0.0004,0.22,INDUSTRIALS
COR,Cencora,365.43,0.0006,0.18,HEALTHCARE
MSI,Motorola Solutions,423.10,0.0007,0.20,TECHNOLOGY|INDUSTRIALS
KMI,Kinder Morgan,31.64,0.0003,0.22,ENERGY
RSG,Republic Services,226.72,0.0005,0.16,INDUSTRIALS
HOOD,Robinhood Markets Inc.,77.55,0.0015,0.50,FINANCIALS|TECHNOLOGY
WBD,Warner Bros. Discovery,28.01,0.0003,0.40,CONSUMER
TFC,Truist Financial,54.42,0.0004,0.24,FINANCIALS
PCAR,Paccar,129.93,0.0005,0.22,INDUSTRIALS
AON,Aon,314.02,0.0005,0.16,FINANCIALS
TEL,TE Connectivity,227.16,0.0007,0.22,TECHNOLOGY|INDUSTRIALS
APD,Air Products,293.38,0.0004,0.20,INDUSTRIALS
AEP,American Electric Power,122.18,0.0002,0.14,ENERGY
FTNT,Fortinet,87.72,0.0010,0.30,TECHNOLOGY
TRV,Travelers Companies (The),299.75,0.0004,0.16,FINANCIALS
PSX,Phillips 66,161.13,0.0003,0.28,ENERGY
LHX,L3Harris,341.14,0.0004,0.20,INDUSTRIALS
EOG,EOG Resources,117.39,0.0004,0.30,ENERGY
SPG,Simon Property Group,195.66,0.0004,0.24,REALESTATE
NXPI,NXP Semiconductors,249.26,0.0008,0.30,TECHNOLOGY
ROST,Ross Stores,192.31,0.0005,0.22,CONSUMER
VLO,Valero Energy,203.89,0.0003,0.30,ENERGY
AZO,AutoZone,3733.09,0.0006,0.18,CONSUMER
MPC,Marathon Petroleum,207.85,0.0004,0.30,ENERGY
BKR,Baker Hughes,61.16,0.0005,0.30,ENERGY
AFL,Aflac,116.20,0.0004,0.16,FINANCIALS
DLR,Digital Realty,174.16,0.0005,0.22,REALESTATE|TECHNOLOGY
SRE,Sempra,90.83,0.0003,0.16,ENERGY
O,Realty Income,64.39,0.0003,0.16,REALESTATE
MPWR,Monolithic Power Systems,1197.55,0.0011,0.36,TECHNOLOGY
GWW,W. W. Grainger,1202.13,0.0006,0.20,INDUSTRIALS
ZTS,Zoetis,128.19,0.0006,0.20,HEALTHCARE
CARR,Carrier Global,66.80,0.0006,0.22,INDUSTRIALS
D,Dominion Energy,64.61,0.0001,0.14,ENERGY
F,Ford Motor Company,13.78,0.0002,0.28,CONSUMER|INDUSTRIALS
URI,United Rentals,870.17,0.0008,0.32,INDUSTRIALS
AME,Ametek,236.33,0.0006,0.20,INDUSTRIALS
VST,Vistra Corp.,160.43,0.0012,0.36,ENERGY
FAST,Fastenal,47.14,0.0005,0.18,INDUSTRIALS
ALL,Allstate,205.91,0.0005,0.18,FINANCIALS
OKE,ONEOK,85.03,0.0004,0.22,ENERGY
AJG,Arthur J. Gallagher & Co.,207.61,0.0006,0.16,FINANCIALS
CAH,Cardinal Health,225.15,0.0006,0.18,HEALTHCARE
CVNA,Carvana Co.,365.94,0.0020,0.50,CONSUMER
IDXX,Idexx Laboratories,647.63,0.0006,0.26,HEALTHCARE
MET,MetLife,78.87,0.0004,0.20,FINANCIALS
TGT,Target Corporation,114.12,0.0004,0.24,CONSUMER
PSA,Public Storage,293.33,0.0003,0.18,REALESTATE
BDX,Becton Dickinson,179.62,0.0004,0.18,HEALTHCARE
CTVA,Corteva,75.48,0.0005,0.22,INDUSTRIALS
TER,Teradyne,323.92,0.0010,0.34,TECHNOLOGY
EA,Electronic Arts,201.72,0.0005,0.24,CONSUMER|TECHNOLOGY
ADSK,Autodesk,232.93,0.0007,0.26,TECHNOLOGY
FITB,Fifth Third Bancorp,54.59,0.0004,0.24,FINANCIALS
CMG,Chipotle Mexican Grill,37.35,0.0006,0.26,CONSUMER
FANG,Diamondback Energy,168.93,0.0005,0.34,ENERGY
TRGP,Targa Resources,222.03,0.0006,0.26,ENERGY
FIX,Comfort Systems USA Inc.,1345.62,0.0014,0.32,INDUSTRIALS
DHI,D. R. Horton,163.35,0.0005,0.26,CONSUMER
HSY,Hershey Company (The),231.46,0.0003,0.16,CONSUMER
OXY,Occidental Petroleum,47.34,0.0003,0.34,ENERGY
DAL,Delta Air Lines,71.16,0.0005,0.34,INDUSTRIALS|CONSUMER
ROK,Rockwell Automation,413.43,0.0006,0.24,INDUSTRIALS
NDAQ,Nasdaq Inc.,81.05,0.0006,0.18,FINANCIALS
XEL,Xcel Energy,77.79,0.0002,0.12,ENERGY
EW,Edwards Lifesciences,78.67,0.0004,0.22,HEALTHCARE
CCL,Carnival,32.80,0.0005,0.42,CONSUMER
CBRE,CBRE Group,151.76,0.0006,0.26,REALESTATE
ETR,Entergy,100.79,0.0002,0.14,ENERGY
EXC,Exelon,44.57,0.0002,0.14,ENERGY
AMP,Ameriprise Financial,489.27,0.0008,0.22,FINANCIALS
NUE,Nucor,194.78,0.0004,0.28,INDUSTRIALS
DDOG,Datadog,126.70,0.0010,0.34,TECHNOLOGY
YUM,Yum! Brands,160.35,0.0005,0.18,CONSUMER
MCHP,Microchip Technology,80.90,0.0007,0.34,TECHNOLOGY
WAB,Wabtec,255.15,0.0007,0.22,INDUSTRIALS
KR,Kroger,68.68,0.0003,0.16,CONSUMER
AIG,American International Group,79.36,0.0004,0.20,FINANCIALS
VMC,Vulcan Materials Company,321.01,0.0005,0.24,INDUSTRIALS
CIEN,Ciena Corporation,301.11,0.0009,0.34,TECHNOLOGY
SYY,Sysco,88.04,0.0003,0.16,CONSUMER
PEG,Public Service Enterprise Group,83.85,0.0002,0.14,ENERGY
COIN,Coinbase Global,152.61,0.0018,0.50,FINANCIALS|TECHNOLOGY
ODFL,Old Dominion,195.74,0.0006,0.22,INDUSTRIALS
KEYS,Keysight Technologies,237.88,0.0007,0.24,TECHNOLOGY
KDP,Keurig Dr Pepper,29.84,0.0003,0.14,CONSUMER
VTR,Ventas,85.29,0.0003,0.18,REALESTATE
MLM,Martin Marietta Materials,663.38,0.0006,0.24,INDUSTRIALS
GRMN,Garmin,206.52,0.0007,0.22,CONSUMER|TECHNOLOGY
ED,Consolidated Edison,109.36,0.0001,0.12,ENERGY
HIG,Hartford (The),142.02,0.0005,0.18,FINANCIALS
LVS,Las Vegas Sands,57.75,0.0004,0.30,CONSUMER
CPRT,Copart,39.73,0.0007,0.20,INDUSTRIALS
EL,Estée Lauder Companies (The),106.09,0.0001,0.30,CONSUMER
IR,Ingersoll Rand,96.98,0.0007,0.24,INDUSTRIALS
WDAY,Workday Inc.,145.19,0.0008,0.26,TECHNOLOGY
MSCI,MSCI,519.16,0.0007,0.22,FINANCIALS
TTWO,Take-Two Interactive,204.25,0.0006,0.24,CONSUMER|TECHNOLOGY
RMD,ResMed,259.29,0.0006,0.22,HEALTHCARE
EBAY,eBay,82.95,0.0003,0.22,CONSUMER|TECHNOLOGY
PCG,PG&E Corporation,17.02,0.0001,0.22,ENERGY
CCI,Crown Castle,85.66,0.0002,0.20,REALESTATE
PYPL,PayPal,40.26,0.0003,0.30,FINANCIALS|TECHNOLOGY
PRU,Prudential Financial,105.34,0.0004,0.18,FINANCIALS
WEC,WEC Energy Group,113.19,0.0002,0.13,ENERGY
UAL,United Airlines Holdings,113.50,0.0005,0.36,INDUSTRIALS|CONSUMER
STT,State Street Corporation,131.37,0.0004,0.22,FINANCIALS
HBAN,Huntington Bancshares,18.02,0.0003,0.22,FINANCIALS
A,Agilent Technologies,128.22,0.0005,0.22,HEALTHCARE
GEHC,GE HealthCare,79.29,0.0005,0.22,HEALTHCARE
MTB,M&T Bank,235.06,0.0004,0.22,FINANCIALS
EME,EMCOR Group Inc.,803.53,0.0010,0.30,INDUSTRIALS
ACGL,Arch Capital Group,98.49,0.0006,0.18,FINANCIALS
KMB,Kimberly-Clark,107.35,0.0002,0.14,CONSUMER
ROP,Roper Technologies,333.96,0.0006,0.18,TECHNOLOGY|INDUSTRIALS
EQT,EQT Corporation,56.73,0.0006,0.34,ENERGY
KVUE,Kenvue,18.44,0.0002,0.16,CONSUMER
LYV,Live Nation Entertainment,150.60,0.0007,0.22,CONSUMER
OTIS,Otis Worldwide,89.85,0.0005,0.18,INDUSTRIALS
AXON,Axon Enterprise,436.36,0.0015,0.36,INDUSTRIALS|TECHNOLOGY
NRG,NRG Energy,160.11,0.0007,0.24,ENERGY
CTSH,Cognizant,71.22,0.0003,0.20,TECHNOLOGY
IBKR,Interactive Brokers Group,76.54,0.0008,0.24,FINANCIALS
PAYX,Paychex,94.49,0.0005,0.16,TECHNOLOGY|FINANCIALS
FISV,Fiserv Inc.,62.72,0.0005,0.20,TECHNOLOGY|FINANCIALS
ADM,Archer Daniels Midland,69.24,0.0002,0.20,CONSUMER
XYZ,Block Inc.,53.87,0.0006,0.36,FINANCIALS|TECHNOLOGY
FICO,Fair Isaac,1369.86,0.0011,0.26,TECHNOLOGY|FINANCIALS
DG,Dollar General,147.49,0.0002,0.22,CONSUMER
DOV,Dover Corporation,232.52,0.0005,0.22,INDUSTRIALS
ROL,Rollins Inc.,65.74,0.0006,0.16,INDUSTRIALS
HPE,Hewlett Packard Enterprise,23.62,0.0004,0.24,TECHNOLOGY
RJF,Raymond James Financial,159.60,0.0006,0.20,FINANCIALS
TPR,Tapestry Inc.,154.43,0.0006,0.28,CONSUMER
VICI,Vici Properties,29.18,0.0003,0.18,REALESTATE
TDY,Teledyne Technologies,657.92,0.0006,0.20,INDUSTRIALS|TECHNOLOGY
XYL,Xylem Inc.,126.71,0.0005,0.22,INDUSTRIALS
CHTR,Charter Communications,241.08,0.0003,0.26,CONSUMER
ARES,Ares Management Corporation,137.90,0.0008,0.22,FINANCIALS
ULTA,Ulta Beauty,684.25,0.0006,0.24,CONSUMER
STLD,Steel Dynamics,206.43,0.0006,0.30,INDUSTRIALS
EXR,Extra Space Storage,142.02,0.0004,0.18,REALESTATE
LEN,Lennar,120.76,0.0005,0.28,CONSUMER
IQV,IQVIA,175.80,0.0005,0.22,HEALTHCARE
IRM,Iron Mountain,99.67,0.0005,0.22,REALESTATE
KHC,Kraft Heinz,24.88,0.0002,0.16,CONSUMER
PPG,PPG Industries,130.53,0.0004,0.20,INDUSTRIALS
HAL,Halliburton,34.84,0.0003,0.32,ENERGY
ATO,Atmos Energy,175.22,0.0002,0.14,ENERGY
DTE,DTE Energy,139.17,0.0002,0.13,ENERGY
TSCO,Tractor Supply,54.53,0.0005,0.20,CONSUMER
EXPE,Expedia Group,235.08,0.0007,0.28,CONSUMER
CFG,Citizens Financial Group,66.87,0.0004,0.24,FINANCIALS
AEE,Ameren,106.08,0.0002,0.13,ENERGY
TPL,Texas Pacific Land Corporation,416.14,0.0010,0.34,ENERGY|REALESTATE
CBOE,Cboe Global Markets,271.99,0.0006,0.18,FINANCIALS
ON,ON Semiconductor,70.68,0.0009,0.36,TECHNOLOGY
MTD,Mettler Toledo,1391.33,0.0006,0.22,HEALTHCARE
STZ,Constellation Brands,163.02,0.0003,0.20,CONSUMER
BIIB,Biogen,191.29,0.0002,0.28,HEALTHCARE
DVN,Devon Energy,44.78,0.0004,0.32,ENERGY
FE,FirstEnergy,47.94,0.0002,0.14,ENERGY
JBL,Jabil,260.92,0.0008,0.28,TECHNOLOGY|INDUSTRIALS
NTRS,Northern Trust,147.45,0.0004,0.20,FINANCIALS
HUBB,Hubbell Incorporated,513.63,0.0007,0.22,INDUSTRIALS
WTW,Willis Towers Watson,282.86,0.0005,0.18,FINANCIALS
WRB,W. R. Berkley Corporation,71.20,0.0005,0.18,FINANCIALS
RF,Regions Financial Corporation,30.86,0.0003,0.24,FINANCIALS
PHM,PulteGroup,139.04,0.0005,0.28,CONSUMER
CNP,CenterPoint Energy,40.91,0.0002,0.14,ENERGY
PPL,PPL Corporation,35.97,0.0002,0.13,ENERGY
DXCM,Dexcom,68.19,0.0005,0.32,HEALTHCARE
SW,Smurfit WestRock,50.23,0.0004,0.22,INDUSTRIALS
ES,Eversource Energy,69.77,0.0002,0.14,ENERGY
GIS,General Mills,48.40,0.0002,0.14,CONSUMER
EIX,Edison International,66.94,0.0002,0.14,ENERGY
IP,International Paper,48.64,0.0003,0.22,INDUSTRIALS
WSM,Williams-Sonoma,214.52,0.0006,0.26,CONSUMER
CINF,Cincinnati Financial,164.11,0.0004,0.18,FINANCIALS
LUV,Southwest Airlines,51.66,0.0003,0.30,INDUSTRIALS|CONSUMER
AVB,AvalonBay Communities,179.80,0.0003,0.18,REALESTATE
SYF,Synchrony Financial,72.95,0.0005,0.28,FINANCIALS
FIS,Fidelity National Information Services,48.73,0.0003,0.22,TECHNOLOGY|FINANCIALS
KEY,KeyCorp,22.67,0.0003,0.24,FINANCIALS
DLTR,Dollar Tree,125.35,0.0002,0.26,CONSUMER
EQR,Equity Residential,65.09,0.0003,0.18,REALESTATE
EXE,Expand Energy,103.09,0.0005,0.30,ENERGY
DRI,Darden Restaurants,212.58,0.0005,0.20,CONSUMER
FSLR,First Solar,227.60,0.0010,0.40,ENERGY|TECHNOLOGY
DOW,Dow Inc.,33.98,0.0002,0.24,INDUSTRIALS
CPAY,Corpay,346.25,0.0007,0.20,FINANCIALS|TECHNOLOGY
AWK,American Water Works,123.54,0.0003,0.16,ENERGY
CHD,Church & Dwight,100.17,0.0003,0.14,CONSUMER
LH,LabCorp,289.08,0.0004,0.20,HEALTHCARE
VRSK,Verisk Analytics,171.87,0.0006,0.18,TECHNOLOGY|FINANCIALS
Q,Qnity Electronics,114.06,0.0008,0.30,TECHNOLOGY
CTRA,Coterra,31.48,0.0004,0.30,ENERGY
STE,Steris,243.09,0.0005,0.18,HEALTHCARE
EFX,Equifax,197.29,0.0005,0.22,INDUSTRIALS|FINANCIALS
VLTO,Veralto,95.33,0.0005,0.20,HEALTHCARE|INDUSTRIALS
BG,Bunge Global,121.39,0.0003,0.22,CONSUMER
DGX,Quest Diagnostics,209.53,0.0004,0.18,HEALTHCARE
CHRW,C.H. Robinson,196.77,0.0004,0.20,INDUSTRIALS
AMCR,Amcor,49.62,0.0003,0.16,INDUSTRIALS
TSN,Tyson Foods,64.52,0.0002,0.22,CONSUMER
L,Loews Corporation,110.15,0.0004,0.16,FINANCIALS
CMS,CMS Energy,74.16,0.0002,0.13,ENERGY
BRO,Brown & Brown,67.07,0.0007,0.16,FINANCIALS
LDOS,Leidos,174.83,0.0006,0.20,INDUSTRIALS|TECHNOLOGY
PKG,Packaging Corporation of America,244.06,0.0005,0.20,INDUSTRIALS
JBHT,J.B. Hunt,231.62,0.0004,0.22,INDUSTRIALS
OMC,Omnicom Group,69.53,0.0002,0.18,CONSUMER
EXPD,Expeditors International,163.06,0.0004,0.20,INDUSTRIALS
RL,Ralph Lauren Corporation,359.55,0.0005,0.24,CONSUMER
NVR,NVR Inc.,8082.38,0.0006,0.24,CONSUMER
DD,DuPont,51.29,0.0004,0.22,INDUSTRIALS
HUM,Humana,176.34,0.0003,0.26,HEALTHCARE
NI,NiSource,44.78,0.0002,0.13,ENERGY
NTAP,NetApp,105.69,0.0006,0.26,TECHNOLOGY
GPC,Genuine Parts Company,149.43,0.0003,0.18,CONSUMER
LULU,Lululemon Athletica,176.88,0.0006,0.30,CONSUMER
ALB,Albemarle Corporation,176.03,0.0004,0.36,INDUSTRIALS
TROW,T. Rowe Price,94.24,0.0004,0.22,FINANCIALS
PFG,Principal Financial Group,92.86,0.0004,0.18,FINANCIALS
CSGP,CoStar Group,48.09,0.0005,0.24,REALESTATE|TECHNOLOGY
GPN,Global Payments,72.67,0.0004,0.24,FINANCIALS|TECHNOLOGY
SBAC,SBA Communications,190.43,0.0003,0.18,REALESTATE
SNA,Snap-on,383.21,0.0005,0.20,INDUSTRIALS
CNC,Centene Corporation,40.26,0.0002,0.30,HEALTHCARE
VRSN,Verisign,215.66,0.0005,0.18,TECHNOLOGY
WAT,Waters Corporation,331.52,0.0005,0.20,HEALTHCARE
IFF,International Flavors & Fragrances,76.65,0.0003,0.22,INDUSTRIALS
BR,Broadridge Financial Solutions,167.88,0.0006,0.16,TECHNOLOGY|FINANCIALS
WY,Weyerhaeuser,27.09,0.0003,0.22,REALESTATE|INDUSTRIALS
INCY,Incyte,99.35,0.0004,0.30,HEALTHCARE
LII,Lennox International,553.57,0.0007,0.22,INDUSTRIALS
LYB,LyondellBasell,59.29,0.0003,0.24,INDUSTRIALS
SMCI,Supermicro,31.69,0.0015,0.50,TECHNOLOGY
MKC,McCormick & Company,70.30,0.0003,0.16,CONSUMER
